delito,x,y,porcentaje
4,-103.3202909,20.72380178,80
1,-103.343259,20.5608227,20
4,-103.4094172,20.74276105,80
4,-103.3685034,20.66835715,80
1,-103.3705463,20.67231496,20
1,-103.3548865,20.69927929,20
2,-103.4619446,20.7855155,40
1,-103.3109082,20.64818454,20
4,-103.4692207,20.54132767,80
1,-103.3857755,20.67667677,20
3,-103.3693911,20.61815989,60
3,-103.3602994,20.6793366,60
1,-103.380251,20.65785218,20
3,-103.2173326,20.57467497,60
1,-103.1562291,20.571118,20
1,-103.2728215,20.68927639,20
4,-103.3611184,20.68473305,80
3,-103.276803,20.6851856,60
3,-103.3661675,20.67239158,60
2,-103.3027492,20.71008372,40
3,-103.2448696,20.66344213,60
4,-103.4340504,20.7714784,80
4,-103.351624,20.61245528,80
1,-103.3224477,20.62908452,20
1,-103.451472,20.73106727,20
2,-103.3780544,20.7292615,40
3,-103.3506878,20.73205448,60
4,-103.2565777,20.45185305,80
2,-103.336804,20.54576494,40
1,-103.3321941,20.64475619,20
4,-103.3127134,20.66070168,80
1,-103.3651287,20.56862585,20
3,-103.42714,20.62859729,60
4,-103.2626206,20.64521288,80
4,-103.30617,20.62944955,80
3,-103.3447122,20.61676706,60
4,-103.3601565,20.63900648,80
2,-103.2466187,20.60126886,40
4,-103.3922045,20.66655614,80
4,-103.380251,20.65785218,80
1,-103.3781958,20.6954664,20
4,-103.3497433,20.67653665,80
4,-103.2443351,20.5945975,80
3,-103.3168861,20.72100848,60
4,-103.373638,20.61784418,80
3,-103.4553703,20.69621162,60
4,-103.4290799,20.74871415,80
4,-103.3360935,20.67302606,80
4,-103.3366909,20.631655,80
4,-103.3422904,20.73518953,80
4,-103.2626334,20.59758251,80
3,-103.3215447,20.73938042,60
1,-103.3283493,20.70037627,20
4,-103.4224961,20.64996418,80
3,-103.3398978,20.69450735,60
2,-103.443658,20.78517677,40
4,-103.2423954,20.62561653,80
4,-103.3344942,20.66087056,80
4,-103.3754222,20.62977543,80
4,-103.3872934,20.67672232,80
4,-103.3773171,20.63047292,80
3,-103.3468034,20.72191818,60
1,-103.4327822,20.60610099,20
3,-103.3197026,20.67856287,60
4,-103.400703,20.60572587,80
4,-103.3478329,20.66401249,80
2,-103.3786534,20.66856526,40
4,-103.3612602,20.64731985,80
4,-103.4286519,20.68035461,80
4,-103.3948465,20.6633554,80
3,-103.2983809,20.68500259,60
3,-103.3776215,20.60100315,60
4,-103.3814243,20.67148194,80
4,-103.3225809,20.67023668,80
1,-103.3056645,20.65163831,20
4,-103.3479664,20.67358313,80
3,-103.3490803,20.69298816,60
4,-103.409155,20.67128693,80
2,-103.2850348,20.47093963,40
4,-103.3157128,20.6784457,80
4,-103.3791557,20.53446064,80
4,-103.2824955,20.65999487,80
3,-103.3916307,20.6190743,60
4,-103.3289047,20.62123409,80
3,-103.4095117,20.66745104,60
3,-103.4510998,20.64288808,60
5,-103.3091907,20.66229702,100
1,-103.4155935,20.63631641,20
3,-103.3594843,20.66605673,60
1,-103.4005115,20.64333909,20
3,-103.3495089,20.68572943,60
4,-103.3259323,20.63061972,80
3,-103.3355752,20.60250046,60
3,-103.3325007,20.61350033,60
4,-103.4930975,20.56778113,80
4,-103.4386454,20.75707588,80
1,-103.3146101,20.62369675,20
4,-103.2606163,20.64932071,80
3,-103.2431035,20.65344291,60
2,-103.5082192,20.80175975,40
1,-103.3537678,20.68870695,20
1,-103.2501238,20.65131024,20
1,-103.3182462,20.60625313,20
4,-103.4552881,20.62917655,80
3,-103.2923701,20.66456342,60
1,-103.3838901,20.67940395,20
3,-103.3844546,20.63757471,60
1,-103.3313837,20.57948869,20
4,-103.4076834,20.49081033,80
1,-103.4071651,20.71019321,20
3,-103.3082859,20.62900057,60
4,-103.2762134,20.67211778,80
1,-103.4134743,20.563289,20
1,-103.2821589,20.6605512,20
4,-103.3874288,20.62417104,80
1,-103.374622,20.71618517,20
2,-103.4168059,20.72666863,40
1,-103.4329916,20.58813387,20
1,-103.2650922,20.59303915,20
1,-103.3259827,20.67325517,20
4,-103.3960381,20.61307132,80
1,-103.3981193,20.51779943,20
4,-103.3072303,20.63595471,80
4,-103.3887152,20.59612951,80
1,-103.2734016,20.69395951,20
5,-103.2109641,20.66776146,100
5,-103.354566,20.76409592,100
1,-103.3922045,20.66655614,20
4,-103.3593413,20.67864132,80
4,-103.3480175,20.67432931,80
4,-103.3753022,20.51084253,80
4,-103.368598,20.6723305,80
4,-103.2972941,20.63378844,80
3,-103.4176485,20.63151872,60
1,-103.3774176,20.67559533,20
2,-103.4244232,20.45612682,40
4,-103.2897972,20.6357558,80
4,-103.303636,20.66607996,80
2,-103.3074544,20.67030411,40
3,-103.4179178,20.67596556,60
4,-103.3786743,20.66367521,80
4,-103.3168861,20.72100848,80
1,-103.2343296,20.59144353,20
1,-103.4433272,20.64848216,20
4,-103.3415505,20.67538209,80
4,-103.386381,20.69289517,80
1,-103.4616695,20.63391182,20
1,-103.2948,20.60873333,20
3,-103.2857335,20.65463631,60
2,-103.2638574,20.62416965,40
1,-103.320628,20.64625681,20
6,-103.3891677,20.75791093,100
1,-103.3243572,20.70770699,20
2,-103.2432495,20.62151339,40
3,-103.3009087,20.66049836,60
4,-103.3965643,20.63660071,80
1,-103.328618,20.66248213,20
4,-103.364269,20.65716354,80
4,-103.3518412,20.60832014,80
1,-103.3040627,20.64478521,20
3,-103.3059433,20.68352361,60
1,-103.3742839,20.72178256,20
1,-103.3904939,20.7433076,20
3,-103.308445,20.65572838,60
1,-103.3331524,20.67955206,20
3,-103.3941096,20.75283534,60
4,-103.4071442,20.6717381,80
2,-103.315914,20.65129938,40
3,-103.3651287,20.56862585,60
3,-103.3869852,20.68492951,60
1,-103.4195194,20.66682039,20
2,-103.3405754,20.6296946,40
4,-103.378458,20.66660131,80
1,-103.3325648,20.56259896,20
4,-103.392344,20.64189683,80
2,-103.391015,20.48446217,40
1,-103.3687148,20.49995033,20
1,-103.2721293,20.68738094,20
3,-103.3910561,20.67853469,60
5,-103.2337916,20.67199144,100
4,-103.3465658,20.74379405,80
1,-103.4677115,20.63619792,20
2,-103.2995346,20.61953833,40
4,-103.4120036,20.70745564,80
